ITEM DESCRIPTION,Category,U.M,W,Quantitys
805FR Bubble,Bubble,PC,9.5,NT
ROLLING PARROT LOOSE,Animal,GS,51,RPS
UMBRELLA ELEPHANT LOOSE,Animal,GS,69,RPS
DIGITAL PEACOCK POP BALAJI,Animal,GS,56,RPS
RUSSIAN DOG,Animal,GS,44,RPS
AFRICAN HORSE BABA ,Animal,GS,45,RPS
INDIAN COW,Animal,GS,46,RPS
SHYAM TOTA ,Animal,GS,53,RPS
SUSHMITA COW LOOSE,Animal,GS,42,RPS
RANI RABBIT LOOSE TARAMA,Animal,GS,54,RPS
RABBIT POP LOOSE,Animal,GS,39,RPS
DEER POP LOOSE,Animal,GS,41,RPS
GUNS PIGEON  L/E,Animal,GS,60,RPS
FUNNY PENGUINE BOX ,Animal,DZ,89,RPS
AFRICAN LION ,Animal,GS,62,RPS
SUNDAR PARROT ,Animal,GS,65,RPS
FUNNY EAGLE BOX,Animal,DZ,75,RPS
MTC CAMEL LOOSE,Animal,GS,54,RPS
FUNNY FISH BOX ,Animal,DZ,78,RPS
NATIONAL  BIRD ,Animal,DZ,78,RPS
JUNGEL PEACOCK SHIV  GURU ,Animal,GS,60,RPS
SUSHMITA  PARROT ,Animal,GS,44,RPS
ENTERTAINMENT DOG,Animal,DZ,440,RPS
865 PULL PUSH BUTTERFLY SP,Animal,DZ,337,RPS
FUNNY ELEPHANT SAFARI BOX,Animal,DZ,89,RPS
9803-38  PULL LINE RABBIT WITH LIGHT,Animal,DZ,566,RPS
DOUBLE ELEPHANT SSE,Animal,GS,72,RPS
CHOTA HATTI MTC,Animal,GS,54,RPS
TATTO GHORA MTC,Animal,GS,46,RPS
RAJU BEGUL LOOSE ,Begul,GS,55,RPS
JK FANCY  BEGUL  MED ,Begul,GS,40,RPS
AKASH  BEGUL CHANDANA,Begul,GS,43,RPS
MAHARAJA  BEGUL ,Begul,GS,63,RPS
20*20 BEGUL  LOOSE,Begul,GS,57,RPS
ARJUN  BOW  JOY ,Bow N Arrow,DZ,117,RPS
AVENGER  JK ,Bow N Arrow,DZ,216,RPS
805 BUBBLES,Bubble,PC,10,RPS
MINI  SHAKTIMAN DUGDUGI,Daffly,GS,55,RPS
MOTU PATLU DUGDUGI,Daffly,GS,48,RPS
UMBRELLA DAFFLY,Daffly,DZ,192,RPS
BAHUBALI DAFFLY ,Daffly,DZ,192,RPS
FISH  DAFFLY ,Daffly,DZ,202,RPS
SHIV  DAMROO,Daffly,GS,54,RPS
HUNGRY KAKATUWA,Daffly,GS,52,RPS
GUITAR DAFFLY NEPTUNE,Daffly,DZ,192,RPS
MAHARAJA TAARU,Daffly,GS,57,RPS
DOCTOR SET SONA ,Doctor Set,DZ,285,RPS
0138 PULL LINE DOLL,Doll Set,DZ,566,RPS
877-3 DOLL SET SONA,Doll Set,DZ,822,RPS
877-4  DOLL SET SONA,Doll Set,DZ,525,RPS
877-5 DOLL SET SONA,Doll Set,DZ,687,RPS
SHYAM SCOOTY,Gadi,GS,53,RPS
ESSCORT TRACTOR TROLLY TANISHA,Gadi,GS,66,RPS
ESSCORT BULDOZER,Gadi,GS,51,RPS
UMBRELLA CAR LOOSE,Gadi,GS,43,RPS
CHAMPION CAR,Gadi,GS,43,RPS
PANASONIC MOTO CAR,Gadi,GS,41,RPS
SCORPIO  CAR ,Gadi,GS,46,RPS
TATA MAGIC  CAR ,Gadi,GS,41,RPS
BICHOO CAR AARTI ,Gadi,GS,45,RPS
DORAMAN CAR LOOSE AARTI,Gadi,GS,41,RPS
MARUTI ZYPSY RAM,Gadi,GS,49,RPS
AMBULANCE  GYPSY ,Gadi,GS,41,RPS
CIRCUS CAR,Gadi,GS,51,RPS
ESSCORT TANKER TROLLY TARA MAA,Gadi,GS,67,RPS
TATA  TRACTOR TROLLY TARA MAA ,Gadi,GS,61,RPS
TARZAN CAR,Gadi,GS,40,RPS
MOBILE  CAR PAANCH LINGA ,Gadi,GS,41,RPS
PRINCE  JEEP ,Gadi,GS,41,RPS
SPIDERMAN BYKE KAMALA ,Gadi,GS,58,RPS
JCB LOOSE TP,Gadi,GS,42,RPS
FLYING  H/C,Gadi,GS,95,RPS
SPORTS CAR ,Gadi,GS,67,RPS
CHINA CAR ,Gadi,GS,65,RPS
GANDHI EXPRESS,Gadi,DZ,92,RPS
007 D2 PULL LINE  CAR,Gadi,DZ,227,RPS
8642 PULL LINE CAR,Gadi,DZ,213,RPS
1996  PULL LINE JCB,Gadi,DZ,216,RPS
867B PULL LINE CAR,Gadi,DZ,227,RPS
6969 PULL LINE SWIFT DZIRE,Gadi,DZ,283,RPS
518 -14 FRICTION CAR,Gadi,DZ,270,RPS
0141  PULL  LINE OLA CAR A2J,Gadi,DZ,270,RPS
